"","ignition_community_","","ignition_population_","","ignition_primary_","","ignition_all_",""
"","b","se","b","se","b","se","b","se"
"ignition","","","","","","","",""
"sens","-.007732",".0009984","-.0082438",".0010588","-.007754",".00116","-.0076342",".0011732"
"socio",".0118361",".0010154",".0121639",".001029",".0063225",".0011923",".00577",".0012041"
"N","7590153","","7590153","","7590153","","7590153",""
"pseudo R-sq",".009266","",".0099367","",".0543912","",".0594279",""
"Population","","","X","","X","","X",""
"Primary","","","","","X","","X",""
"Derived","","","","","","","X",""
