"","community_SCE","","community_PGE","","community_SDGE","","population_SCE","","population_PGE","","population_SDGE","","primary_SCE","","primary_PGE","","primary_SDGE","","all_SCE","","all_PGE","","all_SDGE",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"ignition","","","","","","","","","","","","","","","","","","","","","","","",""
"sens","-.0031415",".0020929","-.0112819",".0011359",".0212566",".0066533","-.0017806",".0026407","-.0111031",".0011454",".0162008",".007228",".0061725",".0030032","-.0122274",".001259",".0117117",".0085427",".0072028",".0030335","-.0123397",".0012725",".0113567",".008707"
"socio",".0030764",".0025794",".0147878",".0011023",".017419",".0066436",".0024404",".0026192",".0146298",".0011031",".0195551",".0062528","-.0044289",".0027887",".0098674",".0013124",".012006",".0065317","-.0043577",".0027846",".0093595",".0013315",".0096915",".0067151"
"N","1950168","","4939641","","700344","","1950168","","4939641","","700344","","1950168","","4939641","","700344","","1950168","","4939641","","700344",""
"pseudo R-sq",".0055853","",".0068982","",".0125098","",".0068675","",".0069585","",".0173024","",".0414653","",".0543313","",".0682098","",".0474551","",".0587611","",".0797057",""
"Utility","SCE","","PG\&E","","SDG\&E","","SCE","","PG\&E","","SDG\&E","","SCE","","PG\&E","","SDG\&E","","SCE","","PG\&E","","SDG\&E",""
"Population","","","","","","","X","","X","","X","","X","","X","","X","","X","","X","","X",""
"Primary","","","","","","","","","","","","","X","","X","","X","","X","","X","","X",""
"Derived","","","","","","","","","","","","","","","","","","","X","","X","","X",""
