"","community_SCE","","community_PGE","","community_SDGE","","population_SCE","","population_PGE","","population_SDGE","","all_SCE","","all_PGE","","all_SDGE",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"ignition_or_psps","","","","","","","","","","","","","","","","","",""
"sens","-.000153",".0011283","-.0123139",".0006154",".0322169",".0027184",".0012802",".0014145","-.0117078",".0006169",".0243216",".0030333",".0028667",".0015203","-.0118058",".0006929",".0186887",".003717"
"socio","-.0029943",".001336",".0134119",".0005834",".0197265",".0029211","-.0035882",".0013803",".0128544",".0005748",".0253278",".0025524","-.0150476",".0016428",".0096343",".000744",".0105529",".0029019"
"N","3120696","","9879282","","1925307","","3120696","","9879282","","1925307","","3120696","","9879282","","1896380",""
"pseudo R-sq",".0343225","",".0291671","",".0445014","",".0350099","",".0304015","",".0687158","",".1980256","",".1649116","",".3285391",""
"Population","","","","","","","X","","X","","X","","X","","X","","X",""
"Utility","SCE","","PG\&E","","SDG\&E","","SCE","","PG\&E","","SDG\&E","","SCE","","PG\&E","","SDG\&E",""
"Primary","","","","","","","","","","","","","X","","X","","X",""
"Derived","","","","","","","","","","","","","X","","X","","X",""
